number,text
4917,four thousand nine hundred seventeen
5165,five thousand one hundred sixty-five
6361,six thousand three hundred sixty-one
1236,one thousand two hundred thirty-six
4929,four thousand nine hundred twenty-nine
6035,six thousand thirty-five
662,six hundred sixty-two
6869,six thousand eight hundred sixty-nine
3108,three thousand one hundred eight
2630,two thousand six hundred thirty
1341,one thousand three hundred forty-one
2340,two thousand three hundred forty
5021,five thousand twenty-one
3805,three thousand eight hundred five
5453,five thousand four hundred fifty-three
6951,six thousand nine hundred fifty-one
3291,three thousand two hundred ninety-one
227,two hundred twenty-seven
2455,two thousand four hundred fifty-five
1862,one thousand eight hundred sixty-two
8421,eight thousand four hundred twenty-one
516,five hundred sixteen
5587,five thousand five hundred eighty-seven
6424,six thousand four hundred twenty-four
5232,five thousand two hundred thirty-two
668,six hundred sixty-eight
3954,three thousand nine hundred fifty-four
1632,one thousand six hundred thirty-two
7940,seven thousand nine hundred forty
2433,two thousand four hundred thirty-three
9476,nine thousand four hundred seventy-six
3379,three thousand three hundred seventy-nine
4245,four thousand two hundred forty-five
9336,nine thousand three hundred thirty-six
8722,eight thousand seven hundred twenty-two
5880,five thousand eight hundred eighty
2594,two thousand five hundred ninety-four
4654,four thousand six hundred fifty-four
622,six hundred twenty-two
1503,one thousand five hundred three
1539,one thousand five hundred thirty-nine
8644,eight thousand six hundred forty-four
3396,three thousand three hundred ninety-six
9002,nine thousand two
8260,eight thousand two hundred sixty
6719,six thousand seven hundred nineteen
8585,eight thousand five hundred eighty-five
249,two hundred forty-nine
8519,eight thousand five hundred nineteen
2483,two thousand four hundred eighty-three
9641,nine thousand six hundred forty-one
8710,eight thousand seven hundred ten
5330,five thousand three hundred thirty
9635,nine thousand six hundred thirty-five
2682,two thousand six hundred eighty-two
7495,seven thousand four hundred ninety-five
6792,six thousand seven hundred ninety-two
7202,seven thousand two hundred two
402,four hundred two
6090,six thousand ninety
448,four hundred forty-eight
6364,six thousand three hundred sixty-four
5792,five thousand seven hundred ninety-two
8862,eight thousand eight hundred sixty-two
9736,nine thousand seven hundred thirty-six
279,two hundred seventy-nine
5230,five thousand two hundred thirty
7704,seven thousand seven hundred four
7170,seven thousand one hundred seventy
749,seven hundred forty-nine
5226,five thousand two hundred twenty-six
5131,five thousand one hundred thirty-one
6381,six thousand three hundred eighty-one
4890,four thousand eight hundred ninety
2055,two thousand fifty-five
6221,six thousand two hundred twenty-one
9263,nine thousand two hundred sixty-three
929,nine hundred twenty-nine
9343,nine thousand three hundred forty-three
1799,one thousand seven hundred ninety-nine
7965,seven thousand nine hundred sixty-five
1944,one thousand nine hundred forty-four
1579,one thousand five hundred seventy-nine
2852,two thousand eight hundred fifty-two
544,five hundred forty-four
839,eight hundred thirty-nine
5060,five thousand sixty
3546,three thousand five hundred forty-six
8602,eight thousand six hundred two
1580,one thousand five hundred eighty
7543,seven thousand five hundred forty-three
7685,seven thousand six hundred eighty-five
964,nine hundred sixty-four
6936,six thousand nine hundred thirty-six
3605,three thousand six hundred five
3639,three thousand six hundred thirty-nine
5398,five thousand three hundred ninety-eight
2656,two thousand six hundred fifty-six
6278,six thousand two hundred seventy-eight
9636,nine thousand six hundred thirty-six
8901,eight thousand nine hundred one
3959,three thousand nine hundred fifty-nine
7726,seven thousand seven hundred twenty-six
2955,two thousand nine hundred fifty-five
3415,three thousand four hundred fifteen
9071,nine thousand seventy-one
9410,nine thousand four hundred ten
9030,nine thousand thirty
3504,three thousand five hundred four
2611,two thousand six hundred eleven
7462,seven thousand four hundred sixty-two
236,two hundred thirty-six
3193,three thousand one hundred ninety-three
1199,one thousand one hundred ninety-nine
1142,one thousand one hundred forty-two
9184,nine thousand one hundred eighty-four
2003,two thousand three
1547,one thousand five hundred forty-seven
4345,four thousand three hundred forty-five
9287,nine thousand two hundred eighty-seven
3861,three thousand eight hundred sixty-one
3499,three thousand four hundred ninety-nine
4548,four thousand five hundred forty-eight
3691,three thousand six hundred ninety-one
8153,eight thousand one hundred fifty-three
6064,six thousand sixty-four
7319,seven thousand three hundred nineteen
6611,six thousand six hundred eleven
9210,nine thousand two hundred ten
4081,four thousand eighty-one
7382,seven thousand three hundred eighty-two
8264,eight thousand two hundred sixty-four
1776,one thousand seven hundred seventy-six
8489,eight thousand four hundred eighty-nine
493,four hundred ninety-three
8402,eight thousand four hundred two
8850,eight thousand eight hundred fifty
6028,six thousand twenty-eight
3913,three thousand nine hundred thirteen
6548,six thousand five hundred forty-eight
8080,eight thousand eighty
1350,one thousand three hundred fifty
6906,six thousand nine hundred six
7627,seven thousand six hundred twenty-seven
5369,five thousand three hundred sixty-nine
4083,four thousand eighty-three
7278,seven thousand two hundred seventy-eight
4976,four thousand nine hundred seventy-six
6957,six thousand nine hundred fifty-seven
9276,nine thousand two hundred seventy-six
2041,two thousand forty-one
2805,two thousand eight hundred five
3571,three thousand five hundred seventy-one
6305,six thousand three hundred five
4296,four thousand two hundred ninety-six
9344,nine thousand three hundred forty-four
2883,two thousand eight hundred eighty-three
91,ninety-one
8462,eight thousand four hundred sixty-two
4526,four thousand five hundred twenty-six
389,three hundred eighty-nine
7853,seven thousand eight hundred fifty-three
5444,five thousand four hundred forty-four
3303,three thousand three hundred three
4951,four thousand nine hundred fifty-one
460,four hundred sixty
6515,six thousand five hundred fifteen
6013,six thousand thirteen
9195,nine thousand one hundred ninety-five
4103,four thousand one hundred three
3775,three thousand seven hundred seventy-five
1511,one thousand five hundred eleven
3342,three thousand three hundred forty-two
4116,four thousand one hundred sixteen
9170,nine thousand one hundred seventy
95,ninety-five
271,two hundred seventy-one
2479,two thousand four hundred seventy-nine
9231,nine thousand two hundred thirty-one
9536,nine thousand five hundred thirty-six
2184,two thousand one hundred eighty-four
5380,five thousand three hundred eighty
3492,three thousand four hundred ninety-two
2103,two thousand one hundred three
9985,nine thousand nine hundred eighty-five
8359,eight thousand three hundred fifty-nine
4682,four thousand six hundred eighty-two
475,four hundred seventy-five
3442,three thousand four hundred forty-two
7024,seven thousand twenty-four
6444,six thousand four hundred forty-four
9519,nine thousand five hundred nineteen
6578,six thousand five hundred seventy-eight
7211,seven thousand two hundred eleven
9351,nine thousand three hundred fifty-one
9215,nine thousand two hundred fifteen
4587,four thousand five hundred eighty-seven
8225,eight thousand two hundred twenty-five
4627,four thousand six hundred twenty-seven
8801,eight thousand eight hundred one
1198,one thousand one hundred ninety-eight
7819,seven thousand eight hundred nineteen
7906,seven thousand nine hundred six
2599,two thousand five hundred ninety-nine
6914,six thousand nine hundred fourteen
778,seven hundred seventy-eight
1611,one thousand six hundred eleven
1953,one thousand nine hundred fifty-three
4364,four thousand three hundred sixty-four
5156,five thousand one hundred fifty-six
6762,six thousand seven hundred sixty-two
6428,six thousand four hundred twenty-eight
7812,seven thousand eight hundred twelve
1518,one thousand five hundred eighteen
6385,six thousand three hundred eighty-five
1985,one thousand nine hundred eighty-five
7059,seven thousand fifty-nine
3766,three thousand seven hundred sixty-six
119,one hundred nineteen
2548,two thousand five hundred forty-eight
234,two hundred thirty-four
5831,five thousand eight hundred thirty-one
2623,two thousand six hundred twenty-three
4421,four thousand four hundred twenty-one
2366,two thousand three hundred sixty-six
6344,six thousand three hundred forty-four
2627,two thousand six hundred twenty-seven
5111,five thousand one hundred eleven
5283,five thousand two hundred eighty-three
9843,nine thousand eight hundred forty-three
5180,five thousand one hundred eighty
7043,seven thousand forty-three
642,six hundred forty-two
5802,five thousand eight hundred two
4018,four thousand eighteen
9839,nine thousand eight hundred thirty-nine
7500,seven thousand five hundred
438,four hundred thirty-eight
5683,five thousand six hundred eighty-three
6425,six thousand four hundred twenty-five
8156,eight thousand one hundred fifty-six
2246,two thousand two hundred forty-six
9945,nine thousand nine hundred forty-five
6128,six thousand one hundred twenty-eight
9302,nine thousand three hundred two
4893,four thousand eight hundred ninety-three
8969,eight thousand nine hundred sixty-nine
2167,two thousand one hundred sixty-seven
8173,eight thousand one hundred seventy-three
7396,seven thousand three hundred ninety-six
182,one hundred eighty-two
7639,seven thousand six hundred thirty-nine
6022,six thousand twenty-two
3780,three thousand seven hundred eighty
6708,six thousand seven hundred eight
7729,seven thousand seven hundred twenty-nine
3693,three thousand six hundred ninety-three
8326,eight thousand three hundred twenty-six
5571,five thousand five hundred seventy-one
8054,eight thousand fifty-four
4841,four thousand eight hundred forty-one
9751,nine thousand seven hundred fifty-one
3745,three thousand seven hundred forty-five
6806,six thousand eight hundred six
5236,five thousand two hundred thirty-six
1597,one thousand five hundred ninety-seven
2456,two thousand four hundred fifty-six
3042,three thousand forty-two
8746,eight thousand seven hundred forty-six
758,seven hundred fifty-eight
2014,two thousand fourteen
6340,six thousand three hundred forty
2050,two thousand fifty
6070,six thousand seventy
1051,one thousand fifty-one
3283,three thousand two hundred eighty-three
3523,three thousand five hundred twenty-three
18,eighteen
1567,one thousand five hundred sixty-seven
5522,five thousand five hundred twenty-two
4273,four thousand two hundred seventy-three
9628,nine thousand six hundred twenty-eight
4079,four thousand seventy-nine
4536,four thousand five hundred thirty-six
9388,nine thousand three hundred eighty-eight
5087,five thousand eighty-seven
5680,five thousand six hundred eighty
5160,five thousand one hundred sixty
6417,six thousand four hundred seventeen
351,three hundred fifty-one
1983,one thousand nine hundred eighty-three
9645,nine thousand six hundred forty-five
7179,seven thousand one hundred seventy-nine
7213,seven thousand two hundred thirteen
5169,five thousand one hundred sixty-nine
4179,four thousand one hundred seventy-nine
1629,one thousand six hundred twenty-nine
4750,four thousand seven hundred fifty
996,nine hundred ninety-six
